Time,BITLOSS,POWAREA,FLOWIN,ANNLOSS,PUMP,ECDTD,BITDEP,Depth
2016-08-14T16:28:30.000Z,0,0,0.0,0,-51838.1,0,0.0,3520
2016-08-14T16:29:00.000Z,0,0,0.0,0,-51714.753,0,0.0,3520
2016-08-14T16:29:30.000Z,0,0,0.0,0,-51081.976,0,0.0,3520
2016-08-14T16:30:00.000Z,0,0,0.0,0,-51516.485,0,0.0,3520
2016-08-14T16:30:30.000Z,0,0,0.0,0,-51456.816,0,0.0,3520
2016-08-14T16:31:00.000Z,0,0,0.0,0,-52051.139,0,0.0,3520
2016-08-14T16:31:30.000Z,0,0,0.0,0,-51148.225,0,0.0,3520
2016-08-14T16:32:00.000Z,0,0,0.0,0,-50955.065,0,0.0,3520
2016-08-14T16:32:30.000Z,0,0,0.0,0,-49836.336,0,0.0,3520
2016-08-14T16:33:00.000Z,0,0,0.0,0,-50504.379,0,0.0,3520
2016-08-14T16:33:30.000Z,0,0,0.0,0,-50198.255,0,0.0,3520
2016-08-14T16:34:00.000Z,0,0,0.0,0,-52079.859,0,0.0,3520
2016-08-14T16:34:30.000Z,0,0,0.0,0,-51919.36,0,0.0,3520
2016-08-14T16:35:00.000Z,0,0,0.0,0,-50902.079,0,0.0,3520
2016-08-14T16:35:30.000Z,0,0,0.0,0,-51660.876,0,0.0,3520
2016-08-14T16:36:00.000Z,0,0,0.0,0,-51426.965,0,0.0,3520
2016-08-14T16:36:30.000Z,0,0,0.0,0,-51036.873,0,0.0,3520
2016-08-14T16:37:00.000Z,0,0,0.0,0,-51295.906,0,0.0,3520
2016-08-14T16:37:30.000Z,0,0,0.0,0,-50550.27,0,0.0,3520
2016-08-14T16:38:00.000Z,0,0,0.0,0,-48978.32,0,0.0,3520
2016-08-14T16:38:30.000Z,0,0,0.0,0,-50345.662,0,0.0,3520
2016-08-14T16:39:00.000Z,0,0,0.0,0,-50961.542,0,0.0,3520
2016-08-14T16:39:30.000Z,0,0,0.0,0,-51447.289,0,0.0,3520
2016-08-14T16:40:00.000Z,0,0,0.0,0,-51696.108,0,0.0,3520
2016-08-14T16:40:30.000Z,0,0,0.0,0,-50463.56,0,0.0,3520
2016-08-14T16:41:00.000Z,0,0,0.0,0,-51153.024,0,0.0,3520
2016-08-14T16:41:30.000Z,0,0,0.0,0,-51762.22,0,0.0,3520
2016-08-14T16:42:00.000Z,0,0,0.0,0,-53082.266,0,0.0,3520
2016-08-14T16:42:30.000Z,0,0,0.0,0,-51553.123,0,0.0,3520
2016-08-14T16:43:00.000Z,0,0,0.0,0,-53107.902,0,0.0,3520
2016-08-14T16:43:30.000Z,0,0,0.0,0,-52407.403,0,0.0,3520
2016-08-14T16:44:00.000Z,0,0,0.0,0,-51843.584,0,0.0,3520
2016-08-14T16:44:30.000Z,0,0,0.0,0,-51562.068,0,0.0,3520
2016-08-14T16:45:00.000Z,0,0,0.0,0,-50560.552,0,0.0,3520
2016-08-14T16:45:30.000Z,0,0,0.0,0,-51044.722,0,0.0,3520
2016-08-14T16:46:00.000Z,0,0,0.0,0,-52006.927,0,0.0,3520
2016-08-14T16:46:30.000Z,0,0,0.0,0,-50229.752,0,0.0,3520
2016-08-14T16:47:00.000Z,0,0,0.0,0,-51704.025,0,0.0,3520
2016-08-14T16:47:30.000Z,0,0,0.0,0,-51037.999,0,0.0,3520
2016-08-14T16:48:00.000Z,0,0,0.0,0,-52555.187,0,0.0,3520
2016-08-14T16:48:30.000Z,0,0,0.0,0,-52487.053,0,0.0,3520
2016-08-14T16:49:00.000Z,0,0,0.0,0,-50861.295,0,0.0,3520
2016-08-14T16:49:30.000Z,0,0,0.0,0,-49630.186,0,0.0,3520
2016-08-14T16:50:00.000Z,0,0,0.0,0,-49717.444,0,0.0,3520
2016-08-14T16:50:30.000Z,0,0,0.0,0,-51668.827,0,0.0,3520
2016-08-14T16:51:00.000Z,0,0,0.0,0,-49940.148,0,0.0,3520
2016-08-14T16:51:30.000Z,0,0,0.0,0,-51826.379,0,0.0,3520
2016-08-14T16:52:00.000Z,0,0,0.0,0,-51508.911,0,0.0,3520
2016-08-14T16:52:30.000Z,0,0,0.0,0,-50873.838,0,0.0,3520
2016-08-14T16:53:00.000Z,0,0,0.0,0,-50270.931,0,0.0,3520
2016-08-14T16:53:30.000Z,0,0,0.0,0,-52443.355,0,0.0,3520
2016-08-14T16:54:00.000Z,0,0,0.0,0,-50941.493,0,0.0,3520
2016-08-14T16:54:30.000Z,0,0,0.0,0,-51177.069,0,0.0,3520
2016-08-14T16:55:00.000Z,0,0,0.0,0,-51398.979,0,0.0,3520
2016-08-14T16:55:30.000Z,0,0,0.0,0,-51324.065,0,0.0,3520
2016-08-14T16:56:00.000Z,0,0,0.0,0,-52065.41,0,0.0,3520
2016-08-14T16:56:30.000Z,0,0,0.0,0,-52688.405,0,0.0,3520
2016-08-14T16:57:00.000Z,0,0,0.0,0,-52098.961,0,0.0,3520
2016-08-14T16:57:30.000Z,0,0,0.0,0,-51943.113,0,0.0,3520
2016-08-14T16:58:00.000Z,0,0,0.0,0,-51193.022,0,0.0,3520
2016-08-14T16:58:30.000Z,0,0,0.0,0,-52028.928,0,0.0,3520
2016-08-14T16:59:00.000Z,0,0,0.0,0,-51870.453,0,0.0,3520
2016-08-14T16:59:30.000Z,0,0,0.0,0,-51707.411,0,0.0,3520
2016-08-14T17:00:00.000Z,0,0,0.0,0,-51689.33,0,0.0,3520
2016-08-14T17:00:30.000Z,0,0,0.0,0,-50223.823,0,0.0,3520
2016-08-14T17:01:00.000Z,0,0,0.0,0,-50605.528,0,0.0,3520
2016-08-14T17:01:30.000Z,0,0,0.0,0,-51650.491,0,0.0,3520
2016-08-14T17:02:00.000Z,0,0,0.0,0,-52037.22,0,0.0,3520
2016-08-14T17:02:30.000Z,0,0,0.0,0,-51092.087,0,0.0,3520
2016-08-14T17:03:00.000Z,0,0,0.0,0,-51493.515,0,0.0,3520
2016-08-14T17:03:30.000Z,0,0,0.0,0,-51870.625,0,0.0,3520
2016-08-14T17:04:00.000Z,0,0,0.0,0,-49896.519,0,0.0,3520
2016-08-14T17:04:30.000Z,0,0,0.0,0,-50826.782,0,0.0,3520
2016-08-14T17:05:00.000Z,0,0,0.0,0,-49759.668,0,0.0,3520
2016-08-14T17:05:30.000Z,0,0,0.0,0,-51302.075,0,0.0,3520
2016-08-14T17:06:00.000Z,0,0,0.0,0,-50949.135,0,0.0,3520
2016-08-14T17:06:30.000Z,0,0,0.0,0,-50457.94,0,0.0,3520
2016-08-14T17:07:00.000Z,0,0,0.0,0,-49722.859,0,0.0,3520
2016-08-14T17:07:30.000Z,0,0,0.0,0,-50184.412,0,0.0,3520
2016-08-14T17:08:00.000Z,0,0,0.0,0,-50909.722,0,0.0,3520
2016-08-14T17:08:30.000Z,0,0,0.0,0,-51455.72,0,0.0,3520
2016-08-14T17:09:00.000Z,0,0,0.0,0,-50296.584,0,0.0,3520
2016-08-14T17:09:30.000Z,0,0,0.0,0,-51579.89,0,0.0,3520
2016-08-14T17:10:00.000Z,0,0,0.0,0,-50507.943,0,0.0,3520
2016-08-14T17:10:30.000Z,0,0,0.0,0,-51070.358,0,0.0,3520
2016-08-14T17:11:00.000Z,0,0,0.0,0,-51914.836,0,0.0,3520
2016-08-14T17:11:30.000Z,0,0,0.0,0,-51871.721,0,0.0,3520
2016-08-14T17:12:00.000Z,0,0,0.0,0,-49861.151,0,0.0,3520
2016-08-14T17:12:30.000Z,0,0,0.0,0,-51819.593,0,0.0,3520
2016-08-14T17:13:00.000Z,0,0,0.0,0,-51588.184,0,0.0,3520
2016-08-14T17:13:30.000Z,0,0,0.0,0,-52523.828,0,0.0,3520
2016-08-14T17:14:00.000Z,0,0,0.0,0,-51399.615,0,0.0,3520
2016-08-14T17:14:30.000Z,0,0,0.0,0,-51782.03,0,0.0,3520
2016-08-14T17:15:00.000Z,0,0,0.0,0,-52803.767,0,0.0,3520
2016-08-14T17:15:30.000Z,0,0,0.0,0,-52391.535,0,0.0,3520
2016-08-14T17:16:00.000Z,0,0,0.0,0,-52573.317,0,0.0,3520
