DEPTH,GR,RT,RHOB,NPHI,PEF
2817.8,4.1565,6.007,,,
2817.9,4.4256,6.0949,,,
2818.0,4.3536,6.1374,,,
2818.1,3.9369,6.2073,,,
2818.2,3.881,6.1956,,,
2818.3,3.5124,6.069,,,
2818.4,4.0557,6.1157,,,
2818.5,5.1994,6.4642,,,
2818.6,5.0921,6.8967,,,
2818.7,4.718,6.9401,,,
2818.8,4.5445,6.7212,,,
2818.9,4.6148,6.6029,,,
2819.0,4.5398,6.8073,,,
2819.1,4.3484,7.6936,,,
2819.2,5.5761,8.6511,,,
2819.3,4.8929,9.1507,,,
2819.4,4.8908,9.4043,,,
2819.5,5.8563,9.3841,,,
2819.6,6.5795,9.0828,,,
2819.7,7.0254,8.7907,,,
2819.8,6.764,8.5393,,,
2819.9,5.6926,8.3125,,,
2820.0,4.6622,8.0835,,,
2820.1,4.0751,7.9321,,,
2820.2,3.4701,7.7795,,,
2820.3,3.9511,7.4786,,,
2820.4,5.1541,7.0016,,,
2820.5,5.8453,6.1003,,,
2820.6,6.344,5.2552,,,
2820.7,4.9804,4.8594,,,
2820.8,3.9637,4.6654,,,
2820.9,3.7509,4.471,,,
2821.0,3.8419,4.4383,,,
2821.1,3.4259,4.4754,,,
2821.2,4.8329,4.4533,,,
2821.3,4.5124,4.3788,,,
2821.4,3.743,4.272,,,
2821.5,3.2813,4.1388,,,
2821.6,4.6555,4.0177,,,
2821.7,4.3196,3.9373,,,
2821.8,4.2776,3.8407,,,
2821.9,4.819,3.7878,,,
2822.0,4.9249,3.7725,,,
2822.1,5.1142,3.6593,,,
2822.2,3.4847,3.504,,,
2822.3,3.0291,3.1992,,,
2822.4,2.9051,2.9578,,,
2822.5,3.0353,2.8365,,,
2822.6,4.6502,2.7669,,,
2822.7,4.9616,2.7241,,,
2822.8,4.7239,2.704,,,
2822.9,3.7945,2.6828,,,
2823.0,3.5071,2.6781,,,
2823.1,3.7857,2.6802,,,
2823.2,3.3244,2.6864,,,
2823.3,3.2077,2.6775,,,
2823.4,3.8237,2.5847,,,
2823.5,3.0924,2.4038,,,
2823.6,3.3209,2.2305,,,
2823.7,3.6606,2.0576,,,
2823.8,3.9819,1.9481,,,
2823.9,4.7869,1.8715,,,
2824.0,3.7529,1.8357,,,
2824.1,3.2803,1.8332,,,
2824.2,2.9341,1.8522,,,
2824.3,3.9224,1.8718,,,
2824.4,4.0939,1.8932,,,
2824.5,4.4812,1.9356,,,
2824.6,5.0113,2.0222,,,
2824.7,4.4532,2.1228,,,
2824.8,3.0395,2.2114,,,
2824.9,4.0693,2.2833,,,
2825.0,4.3063,2.3798,,,
2825.1,3.9589,2.4617,,,
2825.2,4.1802,2.5066,,,
2825.3,3.8772,2.576,,,
2825.4,3.834,2.6882,,,
2825.5,3.8498,2.7874,,,
2825.6,4.0367,2.7486,,,
2825.7,4.2025,2.5639,,,
2825.8,3.7843,2.4877,,,
2825.9,3.9343,2.385,,,
2826.0,3.997,2.3117,,,
