DEPTH,GR,RT,RHOB,NPHI,DTS
3112.6,8.862,4.292,2.568,0.09,118.532
3112.7,7.862,4.425,2.569,0.088,118.461
3112.8,7.857,4.484,2.57,0.088,118.331
3112.9,8.105,4.474,2.572,0.086,117.967
3113.0,8.577,4.534,2.574,0.086,118.076
3113.1,8.671,4.634,2.578,0.084,118.287
3113.2,8.055,4.767,2.584,0.081,118.399
3113.3,7.572,5.05,2.591,0.081,119.656
3113.4,7.695,5.113,2.592,0.082,121.06
3113.5,8.002,5.069,2.588,0.084,121.356
3113.6,8.579,4.99,2.58,0.086,121.42
3113.7,8.807,4.911,2.573,0.087,121.432
3113.8,9.032,4.945,2.567,0.088,121.751
3113.9,8.215,4.995,2.563,0.089,121.321
3114.0,8.539,5.01,2.559,0.09,120.53
3114.1,8.693,4.974,2.557,0.091,120.384
3114.2,8.904,4.943,2.555,0.092,120.089
3114.3,9.464,4.925,2.552,0.094,119.727
3114.4,8.768,4.918,2.551,0.097,119.994
3114.5,8.127,4.878,2.551,0.098,119.999
3114.6,7.947,4.836,2.552,0.096,119.777
3114.7,7.912,4.851,2.554,0.092,119.427
3114.8,7.645,4.85,2.555,0.086,118.897
3114.9,6.434,4.856,2.556,0.085,118.177
3115.0,5.767,4.911,2.557,0.083,117.368
3115.1,6.625,4.969,2.558,0.08,117.243
3115.2,7.252,5.004,2.561,0.077,117.993
3115.3,7.621,4.973,2.567,0.073,118.846
3115.4,6.157,4.925,2.576,0.074,120.538
3115.5,5.737,4.875,2.586,0.073,123.519
3115.6,5.761,4.819,2.594,0.072,122.454
3115.7,5.446,4.789,2.6,0.072,122.349
3115.8,5.201,4.765,2.602,0.072,125.267
3115.9,5.719,4.742,2.6,0.07,126.114
3116.0,5.875,4.647,2.597,0.07,125.665
3116.1,5.532,4.59,2.594,0.07,123.22
3116.2,5.554,4.521,2.594,0.071,121.649
3116.3,5.284,4.463,2.595,0.071,121.096
3116.4,4.859,4.443,2.595,0.071,122.843
3116.5,5.122,4.408,2.592,0.07,120.887
3116.6,5.861,4.394,2.59,0.07,118.324
3116.7,5.66,4.412,2.59,0.073,119.015
3116.8,5.38,4.397,2.593,0.074,117.873
3116.9,4.837,4.37,2.597,0.076,116.178
3117.0,4.89,4.354,2.6,0.079,116.326
3117.1,5.336,4.369,2.601,0.082,116.133
3117.2,5.572,4.375,2.599,0.084,115.853
3117.3,5.75,4.418,2.592,0.087,116.574
3117.4,6.105,4.421,2.583,0.09,119.479
3117.5,6.591,4.436,2.577,0.094,123.845
3117.6,7.898,4.439,2.573,0.097,126.083
3117.7,9.828,4.447,2.571,0.099,127.261
3117.8,10.063,4.448,2.57,0.099,127.5
3117.9,10.309,4.454,2.57,0.099,126.105
3118.0,9.756,4.411,2.571,0.099,124.618
3118.1,9.993,4.434,2.572,0.099,123.022
3118.2,9.918,4.418,2.572,0.1,123.594
3118.3,9.539,4.346,2.571,0.102,124.147
3118.4,9.193,4.273,2.569,0.104,124.556
3118.5,9.318,4.228,2.568,0.106,126.529
3118.6,9.449,4.18,2.568,0.109,127.904
3118.7,9.678,4.108,2.567,0.112,128.091
3118.8,9.906,4.053,2.563,0.113,131.347
3118.9,10.894,3.985,2.557,0.117,132.96
3119.0,10.99,3.947,2.55,0.119,130.423
3119.1,11.358,3.745,2.543,0.119,130.382
3119.2,11.61,3.542,2.537,0.118,130.396
3119.3,11.763,3.441,2.532,0.119,129.167
3119.4,11.753,3.419,2.529,0.121,128.425
