DEPTH,GR,RT,RHOB,NPHI,DT
3012.186,40.0839996,5.75150012,2.30679988,0.0759,66.5888977
3012.3384,36.9844017,5.76539993,2.25200009,0.07119999,66.291603
3012.4908,37.7969017,6.23759984,2.30060005,0.068,67.0699005
3012.6432,40.1141014,5.91389989,2.28139996,0.06889999,74.3879013
3012.7956,43.3339996,5.54540014,2.36989998,0.075,69.2201995
3012.948,45.5307998,5.48449993,2.27530002,0.07729999,70.9839019
3013.1004,46.4034996,4.87559986,2.32279992,0.0749,64.6324996
3013.2528,45.3804016,5.171,2.28640007,0.0728,66.6458969
3013.4052,43.0632019,5.51289987,2.35870003,0.0702,66.5243988
3013.5576,39.3616981,5.61969995,2.3736,0.06629999,67.2048034
3013.71,40.0539016,6.05459976,2.39190006,0.0599,70.0506973
3013.8624,39.9636001,6.73769998,2.36150002,0.0564,70.2750015
3014.0148,41.1673011,7.30509996,2.39190006,0.059,70.0763015
3014.1672,39.1811981,7.68139982,2.36829996,0.06129999,65.2323989
3014.3196,40.5654983,7.27920007,2.40269994,0.0662,72.8171997
3014.472,41.8595008,6.17399978,2.30130004,0.0693,72.2444
3014.6244,46.3734016,6.16550016,2.2888,0.0732,73.2512969
3014.7768,47.0956993,5.93380022,2.31620001,0.07519999,71.0090026
3014.9292,50.4360008,4.89300012,2.33979988,0.08429999,70.4123992
3015.0816,50.4360008,4.11000013,2.34109997,0.08399999,71.2034988
3015.234,49.4127998,3.77670001,2.30539989,0.08739999,72.1054
3015.3864,48.9012985,4.6550002,2.2973001,0.08529999,72.7867965
3015.5388,49.2924995,5.0458002,2.28979992,0.0957,75.1015014
3015.6912,51.007801,4.61549997,2.31760001,0.0986,75.7490005
3015.8436,47.1860008,4.20690011,2.36179995,0.09629999,72.6384963
3015.996,42.6720008,4.97389984,2.41199994,0.08969999,76.8483963
3016.1484,40.0839996,5.20769977,2.3656001,0.08829999,73.6231002
3016.3008,43.6950988,5.93599987,2.31789994,0.10019999,69.6517028
3016.4532,55.9430999,7.06020021,2.25349998,0.13889999,74.2582015
3016.6056,87.6312026,7.25019979,2.20539999,0.19609999,79.6511001
3016.758,117.934997,2.25880002,2.13459992,0.28049999,85.0439987
3016.9104,130.965393,0.84719997,2.15639996,0.29570001,90.4368972
3017.0628,118.627197,0.9023,2.1703999,0.244,82.0544967
3017.2152,99.3675003,1.65040004,2.22230005,0.1674,72.2566986
3017.3676,83.0269012,2.61420011,2.21810007,0.118,70.5473022
3017.52,65.2720031,3.79159998,2.23440003,0.09579999,69.029602
3017.6724,53.7462997,3.57800006,2.23130011,0.08089999,66.9402999
3017.8248,45.8317985,3.29690003,2.25839996,0.0803,71.0876998
3017.9772,44.0261993,4.27500009,2.27180004,0.08439999,68.7559967
3018.1296,43.5145988,5.8249998,2.25440001,0.0837,73.8386001
3018.282,44.5979995,6.42579984,2.24419999,0.08309999,74.0381011
3018.4344,45.8919982,6.3025999,2.25390005,0.07479999,65.1651
3018.5868,43.3941993,6.07070016,2.32380008,0.0797,66.503601
3018.7392,42.5816993,5.97910022,2.35249996,0.0768,65.8326034
3018.8916,39.0909004,6.16599988,2.35570001,0.07289999,71.8298034
3019.044,38.3686981,6.42549991,2.3341999,0.06899999,71.725502
3019.1964,37.4959983,6.6459999,2.39210009,0.06849999,66.0428009
3019.3488,38.0676994,6.90549993,2.42919993,0.0656,64.8658981
3019.5012,34.9681015,7.12270021,2.40750002,0.0619,63.4823989
3019.6536,33.4333992,7.38740015,2.34489989,0.0588,69.3414993
3019.806,33.5537986,7.55119991,2.31780004,0.05669999,63.6338996
3019.9584,35.8708992,7.55770015,2.3361001,0.0538,64.0800018
3020.1108,35.6903991,7.49240016,2.35170006,0.0533,67.8939971
3020.2632,34.7876014,7.61159992,2.31060004,0.0626,62.9436988
3020.4156,36.7737007,7.48140001,2.3031001,0.0719,62.2932014
